"","user","scheme","event","timeTaken_days"
"128","ast413","textrandom;az-6","testing",0
"129","ast413","unknown;az-6","Successful Login",0
"130","ast413","textrandom;az-6","testing",0
"131","ast413","textrandom;az-6","testing",0
"132","ast413","textrandom;az-6","testing",0
"133","ast413","unknown;az-6","Successful Login",0
"134","ast413","unknown;N/A","testing",0.01
"135","ast413","unknown;N/A","testing",0.01
"136","ast413","textrandom;az-6","testing",1.27
"137","ast413","textrandom;az-6","testing",1.27
"138","ast413","unknown;az-6","Successful Login",1.27
"139","ast413","textrandom;az-6","testing",1.27
"140","ast413","textrandom;az-6","testing",1.27
"141","ast413","unknown;az-6","Successful Login",1.27
"142","ast413","textrandom;az-6","testing",1.27
"143","ast413","textrandom;az-6","testing",1.27
"144","ast413","unknown;az-6","Successful Login",1.27
"145","ast413","unknown;N/A","testing",1.27
"146","ast413","unknown;N/A","testing",1.28
"147","ast413","textrandom;az-6","testing",3.37
"148","ast413","textrandom;az-6","testing",3.37
"149","ast413","unknown;az-6","Successful Login",3.37
"150","ast413","textrandom;az-6","testing",3.37
"151","ast413","textrandom;az-6","testing",3.37
"152","ast413","unknown;az-6","Successful Login",3.37
"153","ast413","textrandom;az-6","testing",3.38
"154","ast413","textrandom;az-6","testing",3.38
"155","ast413","unknown;az-6","Successful Login",3.38
"156","ast413","unknown;N/A","testing",3.38
"157","ast413","textrandom;az-6","testing",6.8
"158","ast413","textrandom;az-6","testing",6.8
"159","ast413","unknown;az-6","Successful Login",6.8
"160","ast413","textrandom;az-6","testing",6.8
"161","ast413","textrandom;az-6","testing",6.8
"162","ast413","unknown;az-6","Successful Login",6.8
"163","ast413","textrandom;az-6","testing",6.8
"164","ast413","textrandom;az-6","testing",6.8
"165","ast413","unknown;az-6","Successful Login",6.8
"166","ast413","unknown;N/A","testing",6.8
"167","ast413","textrandom;az-6","testing",7.78
"168","ast413","textrandom;az-6","testing",7.78
"169","ast413","unknown;az-6","Successful Login",7.78
"170","ast413","textrandom;az-6","testing",7.78
"171","ast413","textrandom;az-6","testing",7.78
"172","ast413","unknown;az-6","Successful Login",7.78
"173","ast413","textrandom;az-6","testing",7.79
"174","ast413","textrandom;az-6","testing",7.79
"175","ast413","unknown;az-6","Successful Login",7.79
"176","ast413","unknown;N/A","testing",7.79
"177","ast413","unknown;N/A","testing",7.79
"178","ast416","unknown;N/A","testing",0.03
"179","ast416","textrandom;az-6","Created Password",0
"180","ast416","textrandom;az-6","testing",0
"181","ast416","textrandom;az-6","testing",0
"182","ast416","textrandom;az-6","testing",0
"183","ast416","textrandom;az-6","testing",0
"184","ast416","textrandom;az-6","Created Password",0
"185","ast416","textrandom;az-6","testing",0
"186","ast416","textrandom;az-6","testing",0
"187","ast416","textrandom;az-6","testing",0
"188","ast416","textrandom;az-6","testing",0
"189","ast416","textrandom;az-6","Created Password",0
"190","ast416","textrandom;az-6","testing",0
"191","ast416","textrandom;az-6","testing",0
"192","ast416","textrandom;az-6","testing",0
"193","ast416","textrandom;az-6","testing",0
