"","user","scheme","site","event","timeTaken_sec"
"1","ipt401","unknown;N/A","HS-2011-104","testing",0
"104","ipt401","testpasstiles;ImageP","studentlife","testing",265165
"105","ipt401","unknown;ImagePasstil","studentlife","Successful Login",265165
"106","ipt401","testpasstiles;ImageP","voteforyou","testing",265236
"107","ipt401","testpasstiles;ImageP","voteforyou","testing",265253
"108","ipt401","testpasstiles;ImageP","voteforyou","testing",265254
"109","ipt401","unknown;ImagePasstil","voteforyou","Successful Login",265254
"110","ipt401","testpasstiles;ImageP","wvacation","testing",265311
"111","ipt401","testpasstiles;ImageP","wvacation","testing",265332
"112","ipt401","testpasstiles;ImageP","wvacation","testing",265332
"113","ipt401","unknown;ImagePasstil","wvacation","Successful Login",265333
"114","ipt401","unknown;N/A","HS-2011-1043","testing",265385
"115","ipt401","unknown;N/A","HS-2011-1043","testing",410444
"116","ipt401","unknown;N/A","HS-2011-1043","testing",410448
"117","ipt401","testpasstiles;ImageP","studentlife","testing",611713
"118","ipt401","testpasstiles;ImageP","studentlife","testing",611740
"119","ipt401","testpasstiles;ImageP","studentlife","testing",611740
"120","ipt401","unknown;ImagePasstil","studentlife","Successful Login",611741
"121","ipt401","testpasstiles;ImageP","voteforyou","testing",611864
"122","ipt401","testpasstiles;ImageP","voteforyou","testing",611896
"123","ipt401","testpasstiles;ImageP","voteforyou","testing",611896
"124","ipt401","unknown;ImagePasstil","voteforyou","Successful Login",611897
"125","ipt401","testpasstiles;ImageP","wvacation","testing",611979
"126","ipt401","testpasstiles;ImageP","wvacation","testing",611998
"127","ipt401","testpasstiles;ImageP","wvacation","testing",611998
"128","ipt401","unknown;ImagePasstil","wvacation","Successful Login",611999
"129","ipt401","unknown;N/A","HS-2011-1045","testing",612154
"130","ipt401","unknown;N/A","HS-2011-1045","testing",612404
"131","ipt401","unknown;N/A","HS-2011-1043","testing",675485
"132","ipt401","unknown;N/A","HS-2011-1043","testing",675489
"133","ipt401","unknown;N/A","HS-2011-1044","testing",788331
"134","ipt401","unknown;N/A","HS-2011-1044","testing",869873
"135","ipt401","unknown;N/A","HS-2011-1045","testing",946748
"136","ipt401","unknown;N/A","HS-2011-1043","testing",1079376
"137","ipt401","unknown;N/A","HS-2011-1043","testing",1079416
"138","ipt402","unknown;N/A","HS-2011-104","testing",-1811
"139","ipt402","testpasstiles;ImageP","wvacation","Created Password",0
"140","ipt402","testpasstiles;ImageP","wvacation","testing",3
"141","ipt402","testpasstiles;ImageP","wvacation","testing",3
"142","ipt402","testpasstiles;ImageP","wvacation","testing",4
"143","ipt402","testpasstiles;ImageP","wvacation","testing",25
"144","ipt402","testpasstiles;ImageP","wvacation","testing",25
"145","ipt402","testpasstiles;ImageP","wvacation","Created Password",0
"146","ipt402","testpasstiles;ImageP","wvacation","testing",1
"147","ipt402","testpasstiles;ImageP","wvacation","testing",1
"148","ipt402","testpasstiles;ImageP","wvacation","testing",1
"149","ipt402","testpasstiles;ImageP","wvacation","testing",24
"150","ipt402","testpasstiles;ImageP","wvacation","testing",24
"151","ipt402","testpasstiles;ImageP","wvacation","Created Password",0
"152","ipt402","testpasstiles;ImageP","wvacation","testing",0
"153","ipt402","testpasstiles;ImageP","wvacation","testing",0
"154","ipt402","testpasstiles;ImageP","wvacation","testing",1
"155","ipt402","testpasstiles;ImageP","wvacation","testing",31
"156","ipt402","testpasstiles;ImageP","wvacation","testing",35
"157","ipt402","testpasstiles;ImageP","wvacation","testing",43
"158","ipt402","testpasstiles;ImageP","wvacation","testing",49
"159","ipt402","testpasstiles;ImageP","wvacation","testing",49
"160","ipt402","testpasstiles;ImageP","wvacation","testing",58
"161","ipt402","testpasstiles;ImageP","wvacation","testing",59
"162","ipt402","testpasstiles;ImageP","wvacation","testing",67
"163","ipt402","testpasstiles;ImageP","wvacation","testing",67
"164","ipt402","testpasstiles;ImageP","wvacation","testing",67
"165","ipt402","testpasstiles;ImageP","wvacation","testing",73
"166","ipt402","testpasstiles;ImageP","wvacation","testing",119
"167","ipt402","testpasstiles;ImageP","wvacation","testing",125
"168","ipt402","testpasstiles;ImageP","wvacation","testing",125
"169","ipt402","testpasstiles;ImageP","wvacation","testing",134
"170","ipt402","testpasstiles;ImageP","wvacation","testing",135
"171","ipt402","testpasstiles;ImageP","wvacation","testing",194
"172","ipt402","testpasstiles;ImageP","wvacation","testing",205
"173","ipt402","testpasstiles;ImageP","wvacation","testing",205
"174","ipt402","unknown;ImagePasstil","wvacation","Successful Login",206
"175","ipt402","testpasstiles;ImageP","wvacation","testing",270
"176","ipt402","testpasstiles;ImageP","wvacation","testing",276
"177","ipt402","testpasstiles;ImageP","wvacation","testing",277
"178","ipt402","unknown;ImagePasstil","wvacation","Successful Login",277
"179","ipt402","testpasstiles;ImageP","studentlife","Created Password",0
"180","ipt402","testpasstiles;ImageP","studentlife","testing",0
"181","ipt402","testpasstiles;ImageP","studentlife","testing",1
"182","ipt402","testpasstiles;ImageP","studentlife","testing",1
"183","ipt402","testpasstiles;ImageP","studentlife","testing",33
"184","ipt402","testpasstiles;ImageP","studentlife","testing",33
"185","ipt402","testpasstiles;ImageP","studentlife","testing",36
"186","ipt402","testpasstiles;ImageP","studentlife","testing",37
"187","ipt402","testpasstiles;ImageP","studentlife","testing",37
"188","ipt402","testpasstiles;ImageP","studentlife","Created Password",0
"189","ipt402","testpasstiles;ImageP","studentlife","testing",1
"190","ipt402","testpasstiles;ImageP","studentlife","testing",1
